id_criptografado,ano,data,mes,hora,delito,longitude,latitude,desc_delito,aisp,risp,locf,dia_semana,geometria
d1761e4463a0041627edae12b7829453ae3e8fb0e3ee35707fde516bc7e8b7c3,2024,09/12/2024,12,19:30:00,15,-43.31078251,-22.81935602,Roubo a transeunte,16,1,Avenida brasil,Segunda,POINT(-43.31078251 -22.81935602)
7764bfefbb0a15823265fa31d75b32306649c588eac764eebaf362a89dcb74aa,2024,09/12/2024,12,05:40:00,15,-43.33959458,-23.01032496,Roubo a transeunte,31,2,Avenida lucio costa,Segunda,POINT(-43.33959458 -23.01032496)
cde4ac7a1d92b0d58701bfa3bbb8afed66e3e8ede2b2bc5bc73b8fcec85a42d0,2024,09/12/2024,12,08:00:00,15,-43.25463588,-22.94281177,Roubo a transeunte,6,1,Rua sao miguel,Segunda,POINT(-43.25463588 -22.94281177)
39252d76a5703fb83cc059c545ece36f57dcd698d08ede4a75c87dcf5f27b32f,2024,09/12/2024,12,02:30:00,15,-43.34329674,-22.88787298,Roubo a transeunte,9,2,Rua ana teles,Segunda,POINT(-43.34329674 -22.88787298)
5b679d4a34b66984a64226cfdb8334eeedc6d45375d777816aacf1842c8e78ec,2024,09/12/2024,12,04:00:00,15,-43.17610451,-22.93849289,Roubo a transeunte,2,1,Rua barao de icarai,Segunda,POINT(-43.17610451 -22.93849289)
fbe4ab0015ab2336c1fa33ca10e80f0fe8167e7b16ecccdad6c2e66f893f7895,2024,09/12/2024,12,14:00:00,15,-43.32025264,-22.82318081,Roubo a transeunte,41,2,Rua itapera,Segunda,POINT(-43.32025264 -22.82318081)
3e6a20f8df272a07cd9e87c5f716d41d970639df77f35b5863bc64ec30a4e3c2,2024,09/12/2024,12,00:30:00,15,-43.30697209,-22.89020904,Roubo a transeunte,3,1,Rua leopoldina,Segunda,POINT(-43.30697209 -22.89020904)
b81fa9947715881b90ceee3441c420229bdaae3f3d34820ec3c6cda00c058cb8,2024,09/12/2024,12,04:01:00,15,-43.18835139,-22.81341878,Roubo a transeunte,17,1,Rua mileto maciel,Segunda,POINT(-43.18835139 -22.81341878)
ee6777a264ce8971333c719c83673033fa1e0330dd397dfd2d222ae4719c65b6,2024,09/12/2024,12,14:25:00,15,-43.16760386,-22.95237356,Roubo a transeunte,2,1,Rua ramon franco,Segunda,POINT(-43.16760386 -22.95237356)
35c8833fc3cbc72eb0735a23e99ff2c3171dac709eec7cdfa8eed096fc1d032c,2024,10/12/2024,12,02:08:00,15,-43.17549813,-22.93366844,Roubo a transeunte,2,1,Rua paissandu,Terca,POINT(-43.17549813 -22.93366844)
8855f6e9ed10af05c50cca134d8fd7008feb6a271101fafa84ef9907e06d9f80,2024,10/12/2024,12,04:15:00,15,-43.56721429,-22.92782484,Roubo a transeunte,40,2,Vila avenida alhambra,Terca,POINT(-43.56721429 -22.92782484)
46efb18608e03b502ba4b5e1b7c7dd8ac6d9ab43a134b61bffb22ec39a409d12,2024,10/12/2024,12,02:00:00,15,-43.36195689,-22.89324191,Roubo a transeunte,18,2,Rua urucuia,Terca,POINT(-43.36195689 -22.89324191)
e87031adfcec3e968f17d18f98350cac22188f346011ab6652b545c7d5ba18eb,2024,10/12/2024,12,04:20:00,15,-43.56078545,-22.93745326,Roubo a transeunte,40,2,Estrada estrada das agulhas negras,Terca,POINT(-43.56078545 -22.93745326)
5bbd71000e8ffd08ff3bf3ca9a66083a63f569be4db72eb1c2ae829f98fa71c5,2024,10/12/2024,12,04:30:00,15,-43.57547198,-22.94337497,Roubo a transeunte,40,2,Rua rua irlando regis,Terca,POINT(-43.57547198 -22.94337497)
5e30d78fec78490b1cc3d9b9615ebaf6fa6bd6077c39285ce01c22c66fecc93a,2024,10/12/2024,12,21:00:00,15,-43.54557289,-22.92420027,Roubo a transeunte,40,2,Vila rua irajuba,Terca,POINT(-43.54557289 -22.92420027)
b6d3e9484cabf8208fc2ea4401fb1ed1d2ae6d2f71de88611ed578e5e0404c08,2024,10/12/2024,12,18:00:00,15,-43.29463786,-22.86833499,Roubo a transeunte,3,1,Rua moreia,Terca,POINT(-43.29463786 -22.86833499)
6573293ad1abbd51589828682e6834a77c697490eec0ab2bbee1079b5b16362b,2024,10/12/2024,12,16:30:00,15,-43.17789997,-22.91509998,Roubo a transeunte,5,1,Rua da lapa,Terca,POINT(-43.17789997 -22.91509998)
71c6d1fab958e5b11778ef3ae2ddd416f61d529986d1f34c18c97eeb9a301116,2024,10/12/2024,12,20:15:00,15,-43.43318897,-23.00606699,Roubo a transeunte,31,2,Avenida das americas,Terca,POINT(-43.43318897 -23.00606699)
805a75cc53deb926362445cb1707b3fb6a5a031ade2afba7293638c62fa15249,2024,11/12/2024,12,18:50:00,15,-43.26999998,-22.86999997,Roubo a transeunte,3,1,Rua volta grande,Quarta,POINT(-43.26999998 -22.86999997)
3ca0db6626607487dcf7f5f9ce18efa6f624c21f71fa133452f7f74122af77c1,2024,11/12/2024,12,07:30:00,15,-43.36794164,-22.87219693,Roubo a transeunte,9,2,Rua rua marques de sa,Quarta,POINT(-43.36794164 -22.87219693)
5fd8ff194605833d1a3e90cb8348071d2d29f0f1413a73936a364434bdaefc8b,2024,11/12/2024,12,11:30:00,15,-43.23742842,-22.92998163,Roubo a transeunte,6,1,Rua rua conde de bonfim,Quarta,POINT(-43.23742842 -22.92998163)
1c7b2ab21aee8eac3317b4b5895b922d973943af5cbc6cec20b0099bb1a9c23d,2024,11/12/2024,12,21:00:00,15,-43.37714497,-22.91235299,Roubo a transeunte,18,2,Estrada do cafunda,Quarta,POINT(-43.37714497 -22.91235299)
